title,price,location,room,bath,size,type,purpose,updated,link
17 Katha Commercial Plot Is Up For Rent At Ashulia,50 Thousand,"Ashulia, Savar, Dhaka",,,17 Katha,Plot,For Rent,29 March 2022,https://www.bproperty.com//en/property/details-5260210.html
12.5 Katha Commercial Plot Is Ready To Be Leased At Ashulia,65 Thousand,"Ashulia, Savar, Dhaka",,,12.5 Katha,Plot,For Rent,29 May 2022,https://www.bproperty.com//en/property/details-5198549.html
This Commercial Plot Of 86 Katha Is Vacant Right At This Moment For Lease In Savar,3.05 Lakh,"Aragaon, Ashulia, Savar, Dhaka",,,86 Katha,Plot,For Rent,24 November 2021,https://www.bproperty.com//en/property/details-5290187.html
17 Katha Plot Is Up For Rent In Savar,1 Lakh,"Tongabari, Ashulia, Savar, Dhaka",,,17 Katha,Plot,For Rent,1 August 2022,https://www.bproperty.com//en/property/details-5268210.html
Checkout This 22 Katha Commercial Plot Set To Be Leased In Hathazari,4 Lakh,"Hathazari, Chattogram",,,22.22 Katha,Plot,For Rent,26 June 2023,https://www.bproperty.com//en/property/details-5585519.html
5 Katha Commercial Plot For Lease In Ashulia,36 Thousand,"Ashulia, Savar, Dhaka",,,5 Katha,Plot,For Rent,17 July 2022,https://www.bproperty.com//en/property/details-5127757.html
Offering You An Excellent 5 Katha Commercial Plot For Lease In Ashulia,10 Thousand,"Ashulia, Savar, Dhaka",,,5 Katha,Plot,For Rent,17 July 2022,https://www.bproperty.com//en/property/details-5127758.html
Grab This 5 Katha Commercial Plot Is Ready For Lease At Ashulia,37.5 Thousand,"Ashulia, Savar, Dhaka",,,5 Katha,Plot,For Rent,17 July 2022,https://www.bproperty.com//en/property/details-5127759.html
6.9 Katha Commercial Plot Is Ready To Be Leased In 37 No. North-middle Halishahar Ward,2.6 Lakh,"Halishahar, Chattogram",,,6.9 Katha,Plot,For Rent,11 May 2023,https://www.bproperty.com//en/property/details-5573869.html
"20 Katha Commercial Plot Ready To Be Lease At Birulia Road, Ashulia",60 Thousand,"Birulia, Savar, Dhaka",,,20 Katha,Plot,For Rent,7 September 2021,https://www.bproperty.com//en/property/details-5348098.html
53 Katha Plot Is Up For Rent In Savar,2 Lakh,"Ashulia, Savar, Dhaka",,,53 Katha,Plot,For Rent,8 June 2021,https://www.bproperty.com//en/property/details-5271551.html
