title,price,location,room,bath,size,type,purpose,updated,link
Spend Less And Get More! Acquire This 12000 Sq Ft Exclusive Commercial Building Is Up For Rent In Gulshan 1,15 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"12,000 sqft",Building,For Rent,11 June 2022,https://www.bproperty.com//en/property/details-4331547.html
New With A View – 15000 Sq Ft Commercial Building For Rent In Uttara,6 Lakh,"Sector 6, Uttara, Dhaka",,,"15,000 sqft",Building,For Rent,11 February 2023,https://www.bproperty.com//en/property/details-5532502.html
10600 Sq Ft Commercial Building For Rent In Nikunja 2,5 Lakh,"Nikunja 2, Nikunja, Dhaka",,,"10,600 sqft",Building,For Rent,23 November 2022,https://www.bproperty.com//en/property/details-5397408.html
"9000 Sq Ft Full Commercial Building For Rent In Khilgaon, Chowdhuripara",4.5 Lakh,"Khilgaon, Dhaka",,,"9,000 sqft",Building,For Rent,3 April 2023,https://www.bproperty.com//en/property/details-4109987.html
See This Vacant Commercial Full Building Up For Rent In Uttara Near Islamabad Jame Masjid,13.5 Lakh,"Sector 10, Uttara, Dhaka",,,"23,500 sqft",Building,For Rent,24 March 2022,https://www.bproperty.com//en/property/details-1989781.html
12000 Square Feet Commercial Building Is For Rent In Dhanmondi Close To Dr. Malika College,9 Lakh,"Dhanmondi, Dhaka",,,"12,000 sqft",Building,For Rent,8 September 2020,https://www.bproperty.com//en/property/details-2059004.html
A 2000 Square Feet Commercial Building Is Available For Rent In Pallabi Eastern Housing,70 Thousand,"Eastern Housing, Pallabi, Mirpur, Dhaka",,,"2,000 sqft",Building,For Rent,8 October 2020,https://www.bproperty.com//en/property/details-2079929.html
"Commercial Building Of 12500 Sq Ft For Rent In Uttara, Near Radical Hospital",3.5 Lakh,"Sector 12, Uttara, Dhaka",,,"12,500 sqft",Building,For Rent,26 February 2023,https://www.bproperty.com//en/property/details-2014942.html
A Commercial Buildings Is Available For Rent In Dhanmondi Nearby Zirabo High School.,10.5 Lakh,"Savar, Dhaka",,,"70,000 sqft",Building,For Rent,30 May 2021,https://www.bproperty.com//en/property/details-1924440.html
12249 Sq Ft Commercial Building Is Ready For Rent In Banani,15 Lakh,"Banani, Dhaka",,,"12,249 sqft",Building,For Rent,6 November 2022,https://www.bproperty.com//en/property/details-5532342.html
A Commercial Building Is Ready For Rent At Uttara-5,1.4 Lakh,"Sector 5, Uttara, Dhaka",,,"6,000 sqft",Building,For Rent,16 August 2021,https://www.bproperty.com//en/property/details-3473375.html
13750 Sq Ft Commercial Building Is Up For Rent In Baridhara,8 Lakh,"Block J, Baridhara, Dhaka",,,"13,750 sqft",Building,For Rent,10 October 2021,https://www.bproperty.com//en/property/details-3920026.html
"Wonderful Commercial Building Of 10,800 Sq Ft Is Available For Rent In Sector 14, Uttara",3 Lakh,"Sector 14, Uttara, Dhaka",,,"10,800 sqft",Building,For Rent,22 September 2023,https://www.bproperty.com//en/property/details-5603767.html
80000 Square Feet Commercial Full Building For Rent In Banani,1 Crore,"Banani, Dhaka",,,"80,000 sqft",Building,For Rent,14 September 2023,https://www.bproperty.com//en/property/details-3781099.html
For Your Well-done Business An Commercial Building Of 4000 Sq Ft Is Ready For Rent In North Jatra Bari,2 Lakh,"North Jatra Bari, Jatra Bari, Dhaka",,,"4,000 sqft",Building,For Rent,3 September 2023,https://www.bproperty.com//en/property/details-1807018.html
"A Very Well Fitted 4780 Sq Ft Commercial Full Building Is Up For Rent In Kawlar Bazar Road, Dakshin Khan",1.2 Lakh,"Kawlar, Dakshin Khan, Dhaka",,,"4,780 sqft",Building,For Rent,8 June 2023,https://www.bproperty.com//en/property/details-5580969.html
Checkout This Exclusive 5500 Sq Ft Commercial Building For Rent In Nikunja 1,2.5 Lakh,"Nikunja 1, Nikunja, Dhaka",,,"5,500 sqft",Building,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5551415.html
21000 Sq Ft Full Commercial Building For Rent In Banani,15 Lakh,"Banani, Dhaka",,,"21,000 sqft",Building,For Rent,7 September 2022,https://www.bproperty.com//en/property/details-5519304.html
16000 Sq Ft Full Commercial Building For Rent In The Booming Placement Of Baridhara Dohs,8 Lakh,"Baridhara DOHS, Dhaka",,,"16,000 sqft",Building,For Rent,6 August 2022,https://www.bproperty.com//en/property/details-5211072.html
A 11400 Sq Ft Commercial Full Building Is Available For Rent Which Is Located In Banasree Nearby Al-razi Islamia Hospital (pvt) Limited,3 Lakh,"Block J, Banasree, Dhaka",,,"11,400 sqft",Building,For Rent,2 May 2023,https://www.bproperty.com//en/property/details-2003331.html
"A Commercial Full Building For Rent At Green Road, Dhanmondi",29 Lakh,"Green Road, Dhanmondi, Dhaka",,,"58,500 sqft",Building,For Rent,11 May 2023,https://www.bproperty.com//en/property/details-5565888.html
"An Excellent Office Is Vacant Right Now For Rental Purpose At Nikunja 1, Which Is 7500 Sq Ft",3 Lakh,"Nikunja 1, Nikunja, Dhaka",,,"7,500 sqft",Building,For Rent,9 September 2023,https://www.bproperty.com//en/property/details-4761737.html
See This Office Space Full Building For Rent Located In Dhanmondi Near To Daffodil International School,1.2 Crore,"Dhanmondi, Dhaka",,,"58,183 sqft",Building,For Rent,16 June 2022,https://www.bproperty.com//en/property/details-1928892.html
See this office building located in Baridhara near to Eastern Bank Limited | ATM Booth,8 Lakh,"Block J, Baridhara, Dhaka",,,"20,000 sqft",Building,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1873648.html
Business Space Is Up For Rent In The Most Convenient Location Of Banani Near Banani Bidyaniketan School & College,15 Lakh,"Banani, Dhaka",,,"10,000 sqft",Building,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1916607.html
"14,700 Sq Ft Commercial Full Building For Rent At Baridhara",7.26 Lakh,"Block J, Baridhara, Dhaka",,,"14,700 sqft",Building,For Rent,24 September 2020,https://www.bproperty.com//en/property/details-2067390.html
4500 Sq Ft Commercial Building For Rent In Uttara-13,2.2 Lakh,"Sector 13, Uttara, Dhaka",,,"4,500 sqft",Building,For Rent,9 November 2022,https://www.bproperty.com//en/property/details-5533402.html
"For Your Well-done Business A Commercial Full Building Of 13000 Sq Ft Is Ready For Rent In Sector 7, Uttara",5 Lakh,"Sector 7, Uttara, Dhaka",,,"13,000 sqft",Building,For Rent,10 May 2023,https://www.bproperty.com//en/property/details-5573605.html
6000 Square Feet Full Commercial Building Is Ready For Rent In Turag,1.5 Lakh,Dhaka,,,"6,000 sqft",Building,For Rent,27 October 2022,https://www.bproperty.com//en/property/details-5530133.html
7000 Sq Ft Commercial Building Is Ready For Rent In West Dhanmondi And Shangkar,4 Lakh,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",,,"7,000 sqft",Building,For Rent,23 November 2022,https://www.bproperty.com//en/property/details-5417174.html
"11,150 Sq. Ft. Commercial Building Is For Rent In Baridhara",6 Lakh,"Block J, Baridhara, Dhaka",,,"11,150 sqft",Building,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1999551.html
"36000 Sq Ft Commercial Building Is Up For Rent In Savar, Ashulia",4.68 Lakh,"Ashulia, Savar, Dhaka",,,"36,000 sqft",Building,For Rent,31 March 2022,https://www.bproperty.com//en/property/details-5386561.html
"8000 Sq. Ft. Ample Commercial Building Space Is Available For Rent In Ashulia, Savar",2.5 Lakh,"Block A, Amin Mohammad Model Town, Ashulia, Savar, Dhaka",,,"8,000 sqft",Building,For Rent,20 September 2021,https://www.bproperty.com//en/property/details-5356117.html
Full Building for commercial purpose for Rent in Savar nearby City Bank ATM,10.5 Lakh,"Tongabari, Ashulia, Savar, Dhaka",,,"70,000 sqft",Building,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1933158.html
This 6500 Square Feet Large Commercial Building For Rent At Gulshan 2,5 Lakh,"Gulshan 2, Gulshan, Dhaka",,,"6,500 sqft",Building,For Rent,24 May 2022,https://www.bproperty.com//en/property/details-3250204.html
Commercial Full Building Is Available For Rent In Turag Nearby Kamarpara Jame Mosjid,11.9 Lakh,"Turag, Dhaka",,,"59,500 sqft",Building,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1951866.html
"For Your Well-done Business An Commercial Building Of 42000 Sq Ft Is Ready For Rent In Ashkona, Dakshin Khan",10 Lakh,"Dakshin Khan, Dhaka",,,"42,000 sqft",Building,For Rent,31 August 2023,https://www.bproperty.com//en/property/details-5598832.html
"Readily Available A Nice 18,900 Sq Ft Commercial Building At Ashulia, Savar",4 Lakh,"DOHS, Ashulia, Savar, Dhaka",,,"18,900 sqft",Building,For Rent,27 August 2023,https://www.bproperty.com//en/property/details-5597730.html
"We Are Presenting This 15000 Sq Ft Commercial Building Is Up For Rent At Alaul Avenue, Uttara-6",8 Lakh,"Sector 6, Uttara, Dhaka",,,"15,000 sqft",Building,For Rent,16 November 2021,https://www.bproperty.com//en/property/details-3474247.html
"12500 Square Feet Commercial Building Is For Rent In Tejgaon, Rajabazar",11.54 Lakh,"Rajabazar, Tejgaon, Dhaka",,,"12,500 sqft",Building,For Rent,5 September 2022,https://www.bproperty.com//en/property/details-5500784.html
View This 20000 Sq Ft Commercial Full Building For Rent At Banani,17 Lakh,"Banani, Dhaka",,,"20,000 sqft",Building,For Rent,12 February 2022,https://www.bproperty.com//en/property/details-4966570.html
14800 Square Feet Full Commercial Building Is Ready For Rent In Uttara-15,5.5 Lakh,"Sector 15, Uttara, Dhaka",,,"14,800 sqft",Building,For Rent,8 September 2023,https://www.bproperty.com//en/property/details-5600529.html
6000 Sq Ft Great Commercial Building For Rent In Banani,5.5 Lakh,"Banani, Dhaka",,,"6,000 sqft",Building,For Rent,27 July 2022,https://www.bproperty.com//en/property/details-5458300.html
This Lucrative Commercial Building Up For Rent In Uttara Near To Uttara West Police Station.,3.5 Lakh,"Sector 11, Uttara, Dhaka",,,"7,500 sqft",Building,For Rent,15 March 2020,https://www.bproperty.com//en/property/details-2010613.html
"Best Location For Your Office, This 12500 Sq Ft Commercial Full Building Is Ready To Rent At Gulshan 2",7 Lakh,"Gulshan 2, Gulshan, Dhaka",,,"12,500 sqft",Building,For Rent,9 July 2023,https://www.bproperty.com//en/property/details-5587069.html
18000 Sq Ft Commercial Full Building Is Up For Rent In Uttara Close To One Bank Limited,16.2 Lakh,"Sector 12, Uttara, Dhaka",,,"18,000 sqft",Building,For Rent,30 June 2020,https://www.bproperty.com//en/property/details-2025722.html
"Fully Fitted Commercial Building Of 7500 Sq Ft Is Ready To Rent In Sector 7, Uttara.",4 Lakh,"Sector 7, Uttara, Dhaka",,,"7,500 sqft",Building,For Rent,3 September 2023,https://www.bproperty.com//en/property/details-5599491.html
