title,price,location,room,bath,size,type,purpose,updated,link
A 8500 Sq Ft Commercial Warehouse Is Available For Rent Which Is Located In Bayazid Bostami Road,2.2 Lakh,"Bayazid, Chattogram",,,"8,500 sqft",Warehouse,For Rent,6 July 2023,https://www.bproperty.com//en/property/details-5544455.html
"250 Sq Ft Commercial Warehouse Waiting To Be Rented In Section 11, Mirpur",10 Thousand,"Avenue 3, Block A, Section 11, Mirpur, Dhaka",,,250 sqft,Warehouse,For Rent,5 June 2023,https://www.bproperty.com//en/property/details-3715412.html
"5500 Sq Ft Ready Commercial Warehouse Is Up For Rent At Bayazid, Raufabad Residential Area",1.3 Lakh,"Paharika R/A, Raufabad Residential Area, Bayazid, Chattogram",,,"5,500 sqft",Warehouse,For Rent,19 July 2023,https://www.bproperty.com//en/property/details-5589554.html
10000 Sq Ft Commercial Warehouse For Rent In 9 No. North Pahartali Ward,3 Lakh,"9 No. North Pahartali Ward, Chattogram",,,"10,000 sqft",Warehouse,For Rent,16 March 2023,https://www.bproperty.com//en/property/details-5553967.html
"22500 Square Feet Warehouses Is For Rent In Savar, Ashulia",4.63 Lakh,"Ashulia, Savar, Dhaka",,,"22,500 sqft",Warehouse,For Rent,22 August 2023,https://www.bproperty.com//en/property/details-5596795.html
1200 Sq Ft Commercial Warehouse Is Available For Rent At 7 No. West Sholoshohor Ward,35 Thousand,"Hamjarbag, 7 No. West Sholoshohor Ward, Chattogram",,,"1,200 sqft",Warehouse,For Rent,30 May 2023,https://www.bproperty.com//en/property/details-5554971.html
1600 Sq Ft Vacant Commercial Space For Rent In Nikunja 1,50 Thousand,"Nikunja 1, Nikunja, Dhaka",,,"1,600 sqft",Warehouse,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-3980848.html
A 600 Sq Ft Commercial Warehouse Is Available For Rent Which Is Located In 7 No. West Sholoshohor Ward,20 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,600 sqft,Warehouse,For Rent,4 April 2023,https://www.bproperty.com//en/property/details-5511529.html
10500 Sq Ft Warehouse For Rent In Tejgaon Industrial Area,6.5 Lakh,"Tejgaon, Dhaka",,,"10,500 sqft",Warehouse,For Rent,29 August 2023,https://www.bproperty.com//en/property/details-5474750.html
"A 5254 Sq. Ft Commercial Warehouse For Rent At Milk Vita Road, Mirpur Sec- 7.",1.6 Lakh,"Section 7, Mirpur, Dhaka",,,"5,254 sqft",Warehouse,For Rent,11 October 2021,https://www.bproperty.com//en/property/details-5294614.html
"At Hathazari, 4500 Sq Ft Well Fitted Warehouse Is Ready To Rent",50 Thousand,"Hathazari, Chattogram",,,"4,500 sqft",Warehouse,For Rent,30 July 2023,https://www.bproperty.com//en/property/details-5470241.html
2500 Sq. Ft Warehouse Is Ready For Rent In South Banasree Project.,75 Thousand,"Block G, South Banasree Project, Banasree, Dhaka",,,"2,500 sqft",Warehouse,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-2007178.html
A 400 Sq. Ft Commercial Warehouse Space Is Up For Rent In The Location Of Gulshan 1 Near Bank Asia Limited.,25 Thousand,"Gulshan 1, Gulshan, Dhaka",,,400 sqft,Warehouse,For Rent,2 February 2021,https://www.bproperty.com//en/property/details-5092227.html
"A Very Well Fitted 5,200 Sq Ft Commercial Warehouse Is Up For Rent In Talertek, Khilkhet",55 Thousand,"Talertek, Khilkhet, Dhaka",,,"5,200 sqft",Warehouse,For Rent,21 September 2023,https://www.bproperty.com//en/property/details-5603986.html
"A 6400 Sq Ft Commercial Warehouse Is Available For Rent Which Is Located In Dreamland Residential Area, Bayazid",2 Lakh,"Bayazid, Chattogram",,,"6,400 sqft",Warehouse,For Rent,2 May 2023,https://www.bproperty.com//en/property/details-5571938.html
1700 Sq Ft Warehouse For Rent In Convenient Location Of Gulshan 1,90 Thousand,"Gulshan 1, Gulshan, Dhaka",,,"1,700 sqft",Warehouse,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-5562669.html
Ready To Occupy This 600 Sq Ft Commercial Warehouse In Bayazid For Renting Purpose,20 Thousand,"Gulbag R/A, Star Housing Society, Kulgaon, Bayazid, Chattogram",,,600 sqft,Warehouse,For Rent,26 April 2023,https://www.bproperty.com//en/property/details-5570093.html
"Start Your Business In This 800 Sq Ft Commercial Warehouse For Rent At Tetul Tola Road, Uttar Badda",25 Thousand,"Uttar Badda, Badda, Dhaka",,,800 sqft,Warehouse,For Rent,20 May 2023,https://www.bproperty.com//en/property/details-3363720.html
"1000 Sq Ft Quality Commercial Warehouse Is Up For Rent At Bayazid, Textile Gate",20 Thousand,"Bayazid, Chattogram",,,"1,000 sqft",Warehouse,For Rent,17 May 2023,https://www.bproperty.com//en/property/details-5575773.html
"A Very Well Fitted 900 Sq Ft Commercial Warehouse Is Up For Rent In Oxygen Kuwaish Road, Bayazid",15 Thousand,"Bayazid, Chattogram",,,900 sqft,Warehouse,For Rent,3 May 2023,https://www.bproperty.com//en/property/details-5572275.html
"Deal With Your Business In A 1200 Sq Ft Commercial Warehouse With A Convenient Rent Located At Tetul Tola Road, Uttar Badda",35 Thousand,"Uttar Badda, Badda, Dhaka",,,"1,200 sqft",Warehouse,For Rent,20 May 2023,https://www.bproperty.com//en/property/details-5246000.html
300 Sq Ft Commercial Warehouse At 7 No. West Sholoshohor Ward Is Up For Rent,10 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,300 sqft,Warehouse,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-5585345.html
"Smart Office Space Of 3600 Sq Ft With Smart Service Package Is Now Up For Rent At Block F, Aftab Nagar",1 Lakh,"Sector 1, Block F, Aftab Nagar, Dhaka",,,"3,600 sqft",Warehouse,For Rent,1 August 2023,https://www.bproperty.com//en/property/details-5592331.html
"Invest In This 3200 Sq Ft Warehouse Space For Rent In Banasree, Block E",70 Thousand,"Block E, Banasree, Dhaka",,,"3,200 sqft",Warehouse,For Rent,4 August 2023,https://www.bproperty.com//en/property/details-5592883.html
Set up your new Warehouse in the location of Hatirpool nearby Al-Arafah Islami Bank Limited as a 500 Sq. Ft. is prepared to be rented.,25 Thousand,"Hatirpool, Dhaka",,,500 sqft,Warehouse,For Rent,6 June 2023,https://www.bproperty.com//en/property/details-1865769.html
"Invest In This 3500 Sq Ft Commercial Warehouse Space For Rent In Khilkhet, Panirpump Rd",90 Thousand,"Khilkhet, Dhaka",,,"3,500 sqft",Warehouse,For Rent,21 August 2023,https://www.bproperty.com//en/property/details-5581743.html
"3240 Sq Ft Spacious Warehouse Arena For Rent In Tejgaon Industrial Area, Kunipara",3.5 Lakh,"Kunipara, Tejgaon Industrial Area, Tejgaon, Dhaka",,,"3,240 sqft",Warehouse,For Rent,30 July 2022,https://www.bproperty.com//en/property/details-5509482.html
This Vacant Commercial Warehouse Of 1800 Sq Ft Situated In Sutrapur Is Up For Rent,2 Lakh,"Wari, Sutrapur, Dhaka",,,"1,800 sqft",Warehouse,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-5583055.html
"Rent This 3500 Sq Ft Warehouse In Khilkhet, Barua",85 Thousand,"Barua, Khilkhet, Dhaka",,,"3,500 sqft",Warehouse,For Rent,23 August 2023,https://www.bproperty.com//en/property/details-5596759.html
2500 Sq Ft Ready Commercial Warehouse Is Up For Rent At 7 No. West Sholoshohor Ward,40 Thousand,"Hamjarbag, 7 No. West Sholoshohor Ward, Chattogram",,,"2,500 sqft",Warehouse,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5554972.html
Grab This 2500 Sq Ft Commercial Warehouse Up For Rent At Bayazid,60 Thousand,"Bayazid, Chattogram",,,"2,500 sqft",Warehouse,For Rent,3 August 2023,https://www.bproperty.com//en/property/details-5544279.html
"Remarkable Commercial Warehouse Of 1980 Sq Ft Is Available For Rent In Talertek, Khilkhet",25 Thousand,"Talertek, Khilkhet, Dhaka",,,"1,980 sqft",Warehouse,For Rent,22 September 2023,https://www.bproperty.com//en/property/details-5604181.html
700 Sq Ft Warehouse Space For Rent In Khilkhet,20 Thousand,"Talertek, Khilkhet, Dhaka",,,700 sqft,Warehouse,For Rent,29 September 2023,https://www.bproperty.com//en/property/details-3483882.html
This 400 Sq Ft Warehouse Is Now Up For Rent In Bayazid,20 Thousand,"Bayazid, Chattogram",,,400 sqft,Warehouse,For Rent,17 August 2023,https://www.bproperty.com//en/property/details-5544271.html
"2500 Sq Ft Commercial Warehouse Waiting To Be Rented In Katherpul, Sutrapur",1 Lakh,"Katherpul, Sutrapur, Dhaka",,,"2,500 sqft",Warehouse,For Rent,21 August 2023,https://www.bproperty.com//en/property/details-5596331.html
"2500 Sq Ft Commercial Warehouse Waiting To Be Rented In Talertek, Khilkhet",25 Thousand,"Talertek, Khilkhet, Dhaka",,,"2,500 sqft",Warehouse,For Rent,21 September 2023,https://www.bproperty.com//en/property/details-5603984.html
