title,price,location,room,bath,size,type,purpose,updated,link
Ample Commercial Space Is Available For Rent In Bashundhara Nearby North South University,4.95 Lakh,"Block B, Bashundhara R-A, Dhaka",,,"4,500 sqft",Office,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1992921.html
"A 1500 Square Feet Office Space Is Ready For Rent At Sonargaon Janapath, Uttara",65 Thousand,"Sector 11, Uttara, Dhaka",,,"1,500 sqft",Office,For Rent,3 July 2021,https://www.bproperty.com//en/property/details-5110529.html
See This Office Space For Rent Located In New Market Near To Dhaka College,2.9 Lakh,"New Market, Dhaka",,,"1,930 sqft",Office,For Rent,19 March 2023,https://www.bproperty.com//en/property/details-1950902.html
Well Designed Office Of 6700 Sq Ft Is Up For Rent In East Nasirabad.,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,15 February 2021,https://www.bproperty.com//en/property/details-4287581.html
At CDA Avenue A 1200 Sq Ft Commercial Office Space Is For Rent.,1.8 Lakh,"Lal Khan Bazaar, Chattogram",,,"1,200 sqft",Office,For Rent,16 January 2021,https://www.bproperty.com//en/property/details-5056200.html
Everything You Need In A Office For Rent Is Right Here In Double Mooring,1.34 Lakh,"South Agrabad, Double Mooring, Chattogram",,,"3,345 sqft",Office,For Rent,16 February 2021,https://www.bproperty.com//en/property/details-4838646.html
3050 Square Feet Commercial Area Is For Rent In Uttara-13,3.05 Lakh,"Sector 13, Uttara, Dhaka",,,"3,050 sqft",Office,For Rent,19 August 2021,https://www.bproperty.com//en/property/details-3800036.html
1500 Square Feet Commercial Space Is Ready For Rent At Uttara-11,65 Thousand,"Sector 11, Uttara, Dhaka",,,"1,500 sqft",Office,For Rent,3 July 2021,https://www.bproperty.com//en/property/details-5110530.html
Acquire This 1530 Sq Ft Commercial Space Which Is Up For Rent In West Agargaon,30 Thousand,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",,,"1,530 sqft",Office,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-4128634.html
Check This Readily Available 1530 Sq Ft Lucrative Business Space Up For Rent In West Agargaon,30 Thousand,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",,,"1,530 sqft",Office,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-4128636.html
6700 Sq Ft Commercial Area Is Up For Rent At East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,16 February 2021,https://www.bproperty.com//en/property/details-4287501.html
East Nasirabad Is Giving You A 6700 Sq Ft Commercial Office For Rent,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,16 February 2021,https://www.bproperty.com//en/property/details-4287261.html
An Office Space Is Vacant For Rent In Kuril Near To Jamuna Future Park,1.9 Lakh,"Kuril, Dhaka",,,"2,380 sqft",Office,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1971733.html
Take A Look At This 7000 Sq Ft Commercial Office For Rent At Tejgaon Industrial Area,5.25 Lakh,"Tejgaon, Dhaka",,,"7,000 sqft",Office,For Rent,9 September 2021,https://www.bproperty.com//en/property/details-5330976.html
2294 Square Feet Spacious Commercial Office For Rent At Sonargaon Janapath-Uttara .,2.29 Lakh,"Sector 12, Uttara, Dhaka",,,"2,294 sqft",Office,For Rent,13 March 2022,https://www.bproperty.com//en/property/details-5463181.html
We Bring You A Spacious And Well Fitted 1850 Sq Ft Commercial Space For Rent In Khulshi,2.96 Lakh,"Khulshi, Chattogram",,,"1,850 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5160021.html
1590 Sq. ft Luxurious Commercial Office Speech For Rent In CDA Avenue.,2.7 Lakh,"Lal Khan Bazaar, Chattogram",,,"1,590 sqft",Office,For Rent,18 January 2021,https://www.bproperty.com//en/property/details-5056198.html
This Suitable Office Area Of 2500 Sq Ft Is Up For Rent In Banani,1.5 Lakh,"Banani, Dhaka",,,"2,500 sqft",Office,For Rent,14 September 2023,https://www.bproperty.com//en/property/details-3150226.html
"Looking For A Commercial Space To Rent In Khulshi, Check This One Which Is 1200 Sq Ft.",2.4 Lakh,"Khulshi, Chattogram",,,"1,200 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5160020.html
This 3000 Square Feet Commercial Office For Rent in Tejgaon,2.25 Lakh,"Tejgaon, Dhaka",,,"3,000 sqft",Office,For Rent,9 September 2021,https://www.bproperty.com//en/property/details-5330975.html
Wonderful Commercial Space Of 1200 Sq Ft Is Available For Rent In Khulshi,2.4 Lakh,"Khulshi, Chattogram",,,"1,200 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5160018.html
See This 6000 Sq Ft Office For Rent Located In Banani Near To Royal University Of Dhaka.,8 Lakh,"Banani, Dhaka",,,"6,000 sqft",Office,For Rent,25 August 2021,https://www.bproperty.com//en/property/details-1932766.html
Well Structured 1850 Sq Ft Office Is Vacant For Rent At This Moment In Khulshi,3.7 Lakh,"Khulshi, Chattogram",,,"1,850 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5160017.html
Amazing 6700 Sq Ft Commercial Office Is Ready For Rent At East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,15 February 2021,https://www.bproperty.com//en/property/details-4287301.html
East Nasirabad Is Offering A 6700 Sq Ft Office For Rent To Pick It For Your Next Office,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,17 February 2021,https://www.bproperty.com//en/property/details-4287341.html
Grab This 1500 Sq Ft Office For Rent In Shegunbagicha,90 Thousand,"Shegunbagicha, Dhaka",,,"1,500 sqft",Office,For Rent,9 March 2022,https://www.bproperty.com//en/property/details-5470586.html
"An Excellent Office Is Vacant Right Now For Rental Purpose At Khulshi, Which Is 2200 Sq Ft",3.52 Lakh,"Khulshi, Chattogram",,,"2,200 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5160022.html
"2200 Sq Ft Office For Rent In Mirpur Road, Kalabagan",1.1 Lakh,"Kalabagan, Dhaka",,,"2,200 sqft",Office,For Rent,17 August 2021,https://www.bproperty.com//en/property/details-2029543.html
Verify This 6048 Square Feet Office Space For Rent In Gulshan 1,9.07 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,048 sqft",Office,For Rent,26 September 2023,https://www.bproperty.com//en/property/details-5594136.html
"Commercial Area Of 3345 Sq Ft Is Up For Rent At South Agrabad, Chotopole",1.3 Lakh,"South Agrabad, Double Mooring, Chattogram",,,"3,345 sqft",Office,For Rent,16 February 2021,https://www.bproperty.com//en/property/details-4838647.html
"In Chandgaon Near Unilever Kalurghat Factory Masjid, This Office Space Is Up For Rent.",2.6 Lakh,"4 No Chandgaon Ward, Chattogram",,,"2,600 sqft",Office,For Rent,23 September 2021,https://www.bproperty.com//en/property/details-1974908.html
View This 6048 Square Feet Office Space For Rent In Gulshan 1,9.07 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,048 sqft",Office,For Rent,26 September 2023,https://www.bproperty.com//en/property/details-5594135.html
Near Hatir Jheel Link Road A Working Space Is Ready For Rent In Tejgaon,8.28 Lakh,"Tejgaon, Dhaka",,,"4,600 sqft",Office,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-1968389.html
Well Fitted 5700 Sq Ft Business Space Is Up For Rent In Double Mooring,6.27 Lakh,"Double Mooring, Chattogram",,,"5,700 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5358698.html
Near Shohagh Bus Counter An Office Is Available For Rent In East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"5,800 sqft",Office,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1967573.html
"A Ready, Well Decorated 1600 Sq Ft Commercial Office Is Up For Renting Purpose In Gulshan 1.",1.6 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"1,600 sqft",Office,For Rent,6 April 2022,https://www.bproperty.com//en/property/details-5023465.html
Take A Look At This 3200 Sq Ft Office To Rent In Banani,2.08 Lakh,"Banani, Dhaka",,,"3,200 sqft",Office,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-5557632.html
"1500 Square Feet Of Office Space Is Up For Rent In Mohammadpur, Tajmahal Road",40 Thousand,"Mohammadpur, Dhaka",,,"1,500 sqft",Office,For Rent,14 March 2023,https://www.bproperty.com//en/property/details-3592369.html
"Let Us Show You This 1400 Square Feet Commercial Area For Rent In Banasree, Block A",45 Thousand,"Block A, Banasree, Dhaka",,,"1,400 sqft",Office,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-4999251.html
Spacious Commercial Office For Rent In Gulshan 1 Near Gulshan 1 Bus Stop,6.4 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"4,269 sqft",Office,For Rent,21 September 2023,https://www.bproperty.com//en/property/details-1917042.html
A Large 1400 Square Feet Commercial Office At 11 No. South Kattali Ward For Rent,49 Thousand,"11 No. South Kattali Ward, Chattogram",,,"1,400 sqft",Office,For Rent,16 January 2022,https://www.bproperty.com//en/property/details-5334797.html
An Office Of 1860 Sq. Ft Which Is Up For Rent At Aftab Nagar Near To East West University.,1.12 Lakh,"Block A, Aftab Nagar, Dhaka",,,"1,860 sqft",Office,For Rent,1 September 2022,https://www.bproperty.com//en/property/details-1932869.html
"This 860 Sq Ft Office Space Is Up For Rent In A Most Demanded Location Of Kalabagan, Mirpur Road.",86 Thousand,"Kalabagan, Dhaka",,,860 sqft,Office,For Rent,19 March 2023,https://www.bproperty.com//en/property/details-5560862.html
1590 Sq. ft Luxurious Commercial Office Space Is For Rent At CDA Avenue.,3.18 Lakh,"Lal Khan Bazaar, Chattogram",,,"1,590 sqft",Office,For Rent,16 January 2021,https://www.bproperty.com//en/property/details-5056196.html
Ample Office Of 6700 Sq Ft Is Waiting For Rent In East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,17 February 2021,https://www.bproperty.com//en/property/details-4287621.html
3345 Sq Ft Commercial Area Is Up For Rent At South Agrabad,1.3 Lakh,"South Agrabad, Double Mooring, Chattogram",,,"3,345 sqft",Office,For Rent,16 February 2021,https://www.bproperty.com//en/property/details-4838648.html
"Start Your Business In This 750 Sq Ft Office For Rent In Block G, Lalmatia",50 Thousand,"Lalmatia, Dhaka",,,750 sqft,Office,For Rent,3 September 2023,https://www.bproperty.com//en/property/details-3558483.html
"We Offer You An Excellent And Spacious Commercial Office Of 4,422 Sq Ft At Gulshan 1 For Rent",8.44 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"4,422 sqft",Office,For Rent,24 September 2023,https://www.bproperty.com//en/property/details-5604679.html
"Use This 5000 Sq Ft Rental Property As Your Office, Located At Agargaon",2.5 Lakh,"Agargaon, Dhaka",,,"5,000 sqft",Office,For Rent,17 April 2023,https://www.bproperty.com//en/property/details-4176589.html
A Lucrative Business Space Is Up For Rent In The Great Location Of Uttara Near Asian University Of Bangladesh,60 Thousand,"Sector 7, Uttara, Dhaka",,,"2,500 sqft",Office,For Rent,11 September 2023,https://www.bproperty.com//en/property/details-2001482.html
Artistically Designed Commercial Office Of 6700 Sq Ft Is For Rent In Cda Avenue.,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,15 February 2021,https://www.bproperty.com//en/property/details-4287661.html
A Modern Well-planned Office Of 6700 Sq Ft Is Up For Rent Is Situated In East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,17 February 2021,https://www.bproperty.com//en/property/details-4287461.html
"Visit This 6700 Sq Ft Luxurious Commercial Office For Rent In Cda Avenue, East Nasirabad.",4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,15 February 2021,https://www.bproperty.com//en/property/details-4287421.html
An Office Space Of 6700 Sq. Ft Is Vacant For Rent In CDA Avenue.,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,17 May 2021,https://www.bproperty.com//en/property/details-4287703.html
A Commercial Office Space Is Ready For Rent At Uttara-6,1.5 Lakh,"Sector 6, Uttara, Dhaka",,,"1,300 sqft",Office,For Rent,23 February 2022,https://www.bproperty.com//en/property/details-3476370.html
6700 Square Feet Large Commercial Office For Rent At CDA Avenue.,6.7 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,15 February 2021,https://www.bproperty.com//en/property/details-4287142.html
6700 Sq Ft Commercial Area Is Ready For Rent At East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,17 May 2021,https://www.bproperty.com//en/property/details-4287701.html
"Spacious Office Space Of 5,757 Sq Ft Is Waiting For Rent In Gulshan 1",8.64 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"5,757 sqft",Office,For Rent,24 September 2023,https://www.bproperty.com//en/property/details-5594131.html
A 1400 Sq Ft Commercial Office For Rent in 11 No. South Kattali Ward,49 Thousand,"11 No. South Kattali Ward, Chattogram",,,"1,400 sqft",Office,For Rent,16 January 2022,https://www.bproperty.com//en/property/details-5334796.html
1500 Sq Ft Office For Rent In Uttara Close To Hsbc,50 Thousand,"Sector 4, Uttara, Dhaka",,,"1,500 sqft",Office,For Rent,5 April 2023,https://www.bproperty.com//en/property/details-1840703.html
Grab This 1700 Square Feet Office Up For Rent At CDA Avenue.,50 Thousand,"Lal Khan Bazaar, Chattogram",,,"1,700 sqft",Office,For Rent,18 August 2021,https://www.bproperty.com//en/property/details-3208943.html
"Visit This 1200 Sq Ft Commercial Space For Rent In Motijheel, Dilkusha Commercial Area",84 Thousand,"Dilkusha Commercial Area, Motijheel, Dhaka",,,"1,200 sqft",Office,For Rent,9 March 2022,https://www.bproperty.com//en/property/details-5328471.html
"Near Cardiff International School, A 3800 Sq Ft Office For Rent In Dhanmondi",4.56 Lakh,"Dhanmondi, Dhaka",,,"3,800 sqft",Office,For Rent,25 July 2021,https://www.bproperty.com//en/property/details-4296733.html
"4500 Square Feet Commercial Office For Rent In Panthapath Main Road, Kalabagan",3.6 Lakh,"Kalabagan, Dhaka",,,"4,500 sqft",Office,For Rent,15 January 2021,https://www.bproperty.com//en/property/details-3823162.html
2500 Sq Ft Commercial Area Is Up For Rent At Mohammadpur,3.25 Lakh,"Mohammadpur, Dhaka",,,"2,500 sqft",Office,For Rent,26 December 2021,https://www.bproperty.com//en/property/details-3552667.html
Planned Commercial Office Of 4500 Sq Ft In Khulshi Hill R/a Is Available For Rent.,1 Lakh,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",,,"4,500 sqft",Office,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-5139158.html
Take A Tour Of This 1000 Square Feet Office Space For Rent In Karwan Bazar,50 Thousand,"Karwan Bazar, Tejgaon, Dhaka",,,"1,000 sqft",Office,For Rent,9 May 2023,https://www.bproperty.com//en/property/details-3344372.html
A Commercial Space Is Available For Rent Which Is Located In Ashulia Nearby Jamgora Baitul Roman Jame Mosjid,38 Thousand,"Eastern Housing, Jamgora, Ashulia, Savar, Dhaka",,,"3,200 sqft",Office,For Rent,30 September 2021,https://www.bproperty.com//en/property/details-1990241.html
"Best Location For Your Office, This 2500 Sq Ft Business Space Is Ready To Rent At Banani",3 Lakh,"Banani, Dhaka",,,"2,500 sqft",Office,For Rent,30 March 2023,https://www.bproperty.com//en/property/details-4990432.html
3621 Sq Ft Commercial Space Is For Rent At Mohakhali,3.62 Lakh,"Mohakhali, Dhaka",,,"3,621 sqft",Office,For Rent,31 August 2023,https://www.bproperty.com//en/property/details-4727213.html
"A nice Office of 2650 SQ FT, for rent, can be found in Motijheel",2.65 Lakh,"Motijheel, Dhaka",,,"2,650 sqft",Office,For Rent,27 July 2022,https://www.bproperty.com//en/property/details-5454701.html
"If You Want To Make Your Business Successful Then Rent This 4000 Sq Ft Commercial Space In Motijheel, Dilkusha Commercial Area",3.5 Lakh,"Dilkusha Commercial Area, Motijheel, Dhaka",,,"4,000 sqft",Office,For Rent,9 March 2022,https://www.bproperty.com//en/property/details-5328436.html
"Use This 4500 Sq Ft Rental Property As Your Office, Located At Dhaka Uddan",60 Thousand,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",,,"4,500 sqft",Office,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5557065.html
"Wonderful Commercial Space Of 5000 Sq Ft Is Available For Rent In Begum Rokeya Avenue, Agargaon",2.5 Lakh,"Agargaon, Dhaka",,,"5,000 sqft",Office,For Rent,17 April 2023,https://www.bproperty.com//en/property/details-5560383.html
"A Quality Commercial Property For Rent At Bir Uttam C. r. Datta Road, Hatirpool",15 Thousand,"Hatirpool, Dhaka",,,325 sqft,Office,For Rent,3 January 2023,https://www.bproperty.com//en/property/details-4043015.html
"Take Rent This 4500 Sq Ft Ample Office Space In Dhaka Uddan, Mohammadpur",60 Thousand,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",,,"4,500 sqft",Office,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5557066.html
Set up your new office in the busiest location of Luxmibazar as a 750 Sq. Ft. office space is prepared to be rented nearby Dhaka Central Girls' High School.,80 Thousand,"Luxmibazar, Sutrapur, Dhaka",,,750 sqft,Office,For Rent,19 March 2023,https://www.bproperty.com//en/property/details-1801469.html
Take A Look At This 4500 Sq Ft Office To Rent In Dhaka Uddan,60 Thousand,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",,,"4,500 sqft",Office,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5557067.html
2500 SF Commercial Office Is For Rent In Shegunbagicha,2.25 Lakh,"Shegunbagicha, Dhaka",,,"2,500 sqft",Office,For Rent,8 March 2022,https://www.bproperty.com//en/property/details-1976325.html
Avail The Deal Of Renting This 2755 Sq Ft Office In 36 Goshail Danga Ward,1.52 Lakh,"36 Goshail Danga Ward, Chattogram",,,"2,755 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-3555377.html
"At Banani, A 2800 Square Feet Modern Commercial Office For Rent",2 Lakh,"Banani, Dhaka",,,"2,800 sqft",Office,For Rent,11 February 2022,https://www.bproperty.com//en/property/details-5289729.html
Check This Lucrative Office Space Up For Rent In Dhanmondi Near To Sonali Bank Limited,3.7 Lakh,"Dhanmondi, Dhaka",,,"3,700 sqft",Office,For Rent,31 August 2023,https://www.bproperty.com//en/property/details-1976140.html
450 Sq Ft Commercial Office For Rent In Khulshi,16 Thousand,"South Khulshi, Khulshi, Chattogram",,,450 sqft,Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5559954.html
"We Are Presenting This 1,500 Sq Ft Office For Rent Which Is Located In Nikunja 2",90 Thousand,"Nikunja 2, Nikunja, Dhaka",,,"1,500 sqft",Office,For Rent,18 February 2022,https://www.bproperty.com//en/property/details-1859639.html
See This Office Space For Rent Located In Dhanmondi Near To Dr. Malika College.,2.7 Lakh,"Dhanmondi, Dhaka",,,"4,500 sqft",Office,For Rent,14 October 2021,https://www.bproperty.com//en/property/details-1913295.html
"Well Constructed And Planned 1200 Sq Ft Office In Badda For Rent, Near Nurer Chala Bazar Masjid",45 Thousand,"Middle Badda, Badda, Dhaka",,,"1,200 sqft",Office,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-1751802.html
See This Office Space For Rent Located In Ashulia Near To Jamgora Baitul Roman Jame Mosjid,38 Thousand,"Eastern Housing, Jamgora, Ashulia, Savar, Dhaka",,,"3,200 sqft",Office,For Rent,22 December 2021,https://www.bproperty.com//en/property/details-1990237.html
A Modest Commercial Office In East Nasirabad Near Police Lines Hospital Is Up For Rent,1.5 Lakh,"East Nasirabad, Chattogram",,,"1,500 sqft",Office,For Rent,3 June 2022,https://www.bproperty.com//en/property/details-1967149.html
"A Large Commercial Property Of 20000 Sq Ft For Rent At Banglamotors, Kazi Nazrul Islam Avenue",15 Lakh,"Banglamotors, Dhaka",,,"20,000 sqft",Office,For Rent,31 August 2023,https://www.bproperty.com//en/property/details-5596533.html
Ample Office Of 1000 Sq Ft Is Waiting For Rent In Mohammadia Housing Society,20 Thousand,"Mohammadia Housing Society, Mohammadpur, Dhaka",,,"1,000 sqft",Office,For Rent,22 September 2023,https://www.bproperty.com//en/property/details-2033822.html
Deal With Your Business In 1128 Sq Ft Office To Rent In Mirpur,30 Thousand,"Block B, Section 6, Mirpur, Dhaka",,,"1,128 sqft",Office,For Rent,29 August 2023,https://www.bproperty.com//en/property/details-3677110.html
"1500 Sq Ft Commercial Area For Rent At 36 Goshail Danga Ward, Agrabad Commercial Area",82.5 Thousand,"36 Goshail Danga Ward, Chattogram",,,"1,500 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-4908198.html
This 6984 Sq Ft Office Space Is Up For Rent In A Most Demanded Location Of Gulshan 1,8.38 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,984 sqft",Office,For Rent,26 August 2023,https://www.bproperty.com//en/property/details-4398424.html
See This Office Space Of 2700 Sq. Ft Is For Rent Located In Uttara -6.,1.75 Lakh,"Sector 6, Uttara, Dhaka",,,"2,700 sqft",Office,For Rent,28 July 2020,https://www.bproperty.com//en/property/details-2036152.html
"3320 sq ft quality office space for rent at 36 Goshail Danga Ward, Agrabad Commercial Area",1.83 Lakh,"36 Goshail Danga Ward, Chattogram",,,"3,320 sqft",Office,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-4908197.html
"Modern Office Space Of 5600 Sq Ft Is Up For Rent In Kuril, Pragati Soroni",6.16 Lakh,"Pragati Soroni, Kuril, Dhaka",,,"5,600 sqft",Office,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-5555087.html
A 2000 Sq. Ft Ready Commercial Space Is To Rent At CDA Avenue.,70 Thousand,"East Nasirabad, Chattogram",,,"2,000 sqft",Office,For Rent,16 August 2021,https://www.bproperty.com//en/property/details-3586848.html
Office for Rent in Shegunbagicha close to Segun Bagicha High School,2.25 Lakh,"Shegunbagicha, Dhaka",,,"2,500 sqft",Office,For Rent,8 March 2022,https://www.bproperty.com//en/property/details-1976314.html
10000 Square Feet Office Space For Rent In Tejgaon,8 Lakh,"Karwan Bazar, Tejgaon, Dhaka",,,"10,000 sqft",Office,For Rent,25 August 2021,https://www.bproperty.com//en/property/details-1867680.html
"In Dhanmondi Near Sonali Bank Limited, This Office Space Is Up For Rent.",3.7 Lakh,"Dhanmondi, Dhaka",,,"3,700 sqft",Office,For Rent,31 August 2023,https://www.bproperty.com//en/property/details-1976142.html
"5059 Sq Ft Office Area Is Ready For Rent In Banani, Kemal Ataturk Avenue",9.11 Lakh,"Banani, Dhaka",,,"5,059 sqft",Office,For Rent,16 August 2023,https://www.bproperty.com//en/property/details-1949147.html
"866 Sq Ft Office Space Is Available For Rent In Pragati Sarani, Shahjadpur.",43.3 Thousand,"Shahjadpur, Badda, Dhaka",,,866 sqft,Office,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-4883864.html
1140 Sq. ft Commercial Space Is For Rent In Narinda .,40 Thousand,"Narinda, Sutrapur, Dhaka",,,"1,140 sqft",Office,For Rent,30 March 2022,https://www.bproperty.com//en/property/details-5323295.html
See This Office Space For Rent Located In Motijheel Near To Eastern Bank Limited (EBL)/Bangladesh Bank,2.53 Lakh,"Motijheel, Dhaka",,,"2,300 sqft",Office,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1973220.html
Take a Look at This 880 Sq Ft Office to Rent in Kalabagan Near To Kalabagan Bazar,65 Thousand,"Kalabagan, Dhaka",,,880 sqft,Office,For Rent,26 February 2023,https://www.bproperty.com//en/property/details-2004140.html
Look At This 4000 Square Ft Large Commercial Office For Rent At Baridhara DOHS.,1.2 Lakh,"Baridhara DOHS, Dhaka",,,"4,000 sqft",Office,For Rent,24 May 2023,https://www.bproperty.com//en/property/details-4545452.html
"Need New Office Space? Check This Readily Available Lucrative Business Space Up For Rent In Section 6, Mirpur",3.44 Lakh,"Block C, Section 6, Mirpur, Dhaka",,,"4,300 sqft",Office,For Rent,27 October 2022,https://www.bproperty.com//en/property/details-3264962.html
Office for Rent in Tejgaon close to Tejgaon College,87.5 Thousand,"Karwan Bazar, Tejgaon, Dhaka",,,"1,750 sqft",Office,For Rent,6 February 2023,https://www.bproperty.com//en/property/details-1878683.html
A rightly planned 2650 SQ FT Office is found for rent in Motijheel,2.65 Lakh,"Motijheel, Dhaka",,,"2,650 sqft",Office,For Rent,27 July 2022,https://www.bproperty.com//en/property/details-5454703.html
