title,price,location,room,bath,size,type,purpose,updated,link
Affordable And Beautiful Flat Is Up For Rent In Uttara Which Is 1500 Sq Ft,55 Thousand,"Sector 10, Uttara, Dhaka",3 Beds,3 Baths,"1,500 sqft",Apartment,For Rent,26 September 2023,https://www.bproperty.com//en/property/details-5209087.html
"This 2500 Sq Ft Apartment Is Now Available And Vacant For Rent In Sector 6, Uttara",1 Lakh,"Sector 6, Uttara, Dhaka",3 Beds,3 Baths,"2,500 sqft",Apartment,For Rent,5 March 2023,https://www.bproperty.com//en/property/details-2075603.html
Full Furnished Flat Near Baridhara Jame Masjid For Rent In Baridhara DOHS,90 Thousand,"Baridhara DOHS, Dhaka",3 Beds,3 Baths,"1,350 sqft",Apartment,For Rent,23 September 2023,https://www.bproperty.com//en/property/details-1896489.html
"Apartment For Rent In Bashundhara R-a, Block I Nearby Nsu",30 Thousand,"Block I, Bashundhara R-A, Dhaka",3 Beds,4 Baths,"1,650 sqft",Apartment,For Rent,27 March 2023,https://www.bproperty.com//en/property/details-1918692.html
"Looking For A Nice Full Furnished Flat To Rent In Uttara, Check This One Which Is 1800 Sq Ft",70 Thousand,"Sector 5, Uttara, Dhaka",3 Beds,3 Baths,"1,800 sqft",Apartment,For Rent,24 September 2023,https://www.bproperty.com//en/property/details-3322946.html
"See, This Beautiful Apartment And Make It Your New Home Which Is Up For Rent In Uttara Sec-7.",85 Thousand,"Sector 7, Uttara, Dhaka",3 Beds,3 Baths,"2,000 sqft",Apartment,For Rent,29 March 2023,https://www.bproperty.com//en/property/details-3458912.html
This 3500 Sq. ft Home Will Ensure Your Good Quality Of Living In Baridhara,2.3 Lakh,"Block K, Baridhara, Dhaka",4 Beds,4 Baths,"3,500 sqft",Apartment,For Rent,12 March 2023,https://www.bproperty.com//en/property/details-5555540.html
"Looking For A Tasteful Home To Rent In Muradpur, Check This 850 Sq Ft Flat.",15 Thousand,"Muradpur, Chattogram",2 Beds,2 Baths,850 sqft,Apartment,For Rent,20 March 2023,https://www.bproperty.com//en/property/details-2018072.html
Your New Home Is Waiting For You In This Lovely Apartment Of 1500 Sq Ft Is Ready For Rent At Bashundhara R-a,35 Thousand,"Block B, Bashundhara R-A, Dhaka",3 Beds,4 Baths,"1,500 sqft",Apartment,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-2034651.html
Offering You A 1370 sq ft nice Flat For Rent In Sjahjadpur,35 Thousand,"Badda, Dhaka",3 Beds,3 Baths,"1,370 sqft",Apartment,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-1918184.html
Plan To Move In This 3000 Sq Ft Flat Which Is Up For Rent In Khulshi Near To Khulshi Jame Masjid,1.1 Lakh,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",4 Beds,4 Baths,"3,000 sqft",Apartment,For Rent,10 February 2023,https://www.bproperty.com//en/property/details-2009696.html
2220 Sq Ft Flat With Great Facilities Is Ready For Rent In West Dhanmondi And Shangkar,40 Thousand,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",4 Beds,4 Baths,"2,220 sqft",Apartment,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-3111561.html
For Rental Purpose 3500 Sq Ft Home Is Now Up To Rent In Baridhara,2.3 Lakh,"Block K, Baridhara, Dhaka",4 Beds,4 Baths,"3,500 sqft",Apartment,For Rent,12 March 2023,https://www.bproperty.com//en/property/details-5555539.html
"We Are Offering You This 1100 Square Feet Apartment For Rent In Mohammadpur, Bochila",15 Thousand,"Block A, Bochila Garden City, Bochila, Mohammadpur, Dhaka",3 Beds,3 Baths,"1,100 sqft",Apartment,For Rent,27 March 2023,https://www.bproperty.com//en/property/details-5555783.html
A Strongly Structured & Fully Furnished Apartment Of 3040 Sq Ft Is Available For Rent In Uttara Near Badshartek Jam - E - Masjid,1.4 Lakh,"Sector 3, Uttara, Dhaka",5 Beds,5 Baths,"3,040 sqft",Apartment,For Rent,23 September 2023,https://www.bproperty.com//en/property/details-2015102.html
An Exclusive Residential Duplex Property Available For Rent In The Prime Location Of Dhanmondi,3.5 Lakh,"Dhanmondi, Dhaka",5 Beds,6 Baths,"7,500 sqft",Duplex,For Rent,15 December 2022,https://www.bproperty.com//en/property/details-4472440.html
Shift In This 6300 Sq Ft Apartment Of Abundant Floor Space For Rent In Baridhara,3.5 Lakh,"Block K, Baridhara, Dhaka",4 Beds,5 Baths,"6,300 sqft",Apartment,For Rent,15 February 2022,https://www.bproperty.com//en/property/details-5455004.html
A Beautifully Constructed Apartment Of 950 Sq Ft Is Vacant Right Now For Rent In West Rampura,18 Thousand,"West Rampura, Rampura, Dhaka",2 Beds,2 Baths,950 sqft,Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-3353907.html
An Exclusive 2275 Sq Ft Apartment Is Up For Rent In Basundhara R/a,45 Thousand,"Block J, Bashundhara R-A, Dhaka",3 Beds,4 Baths,"2,275 sqft",Apartment,For Rent,26 February 2023,https://www.bproperty.com//en/property/details-4898434.html
We Got A 950 Sq Ft Flat For Rent In This West Rampura Area Which Is Very Affordable And Lovely.,19 Thousand,"West Rampura, Rampura, Dhaka",2 Beds,2 Baths,950 sqft,Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-3353912.html
"Looking For A Tasteful Home To Rent In Bashundhara, Check This One",18 Thousand,"Block L, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"1,500 sqft",Apartment,For Rent,7 March 2023,https://www.bproperty.com//en/property/details-5330860.html
"Reasonable 1508 SQ FT flat is available for rent in Bashundhara R-A, Block H",26 Thousand,"Block H, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"1,508 sqft",Apartment,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-2086760.html
West Rampura Is Offering A 1100 Sq Ft Flat For Rent To Pick It For Your Next Home,20 Thousand,"West Rampura, Rampura, Dhaka",3 Beds,3 Baths,"1,100 sqft",Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-5058320.html
"1600 Sq Ft Furnished Flat Is Up For Rent In Lalmatia, Block C",85 Thousand,"Lalmatia, Dhaka",3 Beds,3 Baths,"1,600 sqft",Apartment,For Rent,15 September 2023,https://www.bproperty.com//en/property/details-4396948.html
Beautifully constructed 950 SQ FT flat is available to Rent in Zafrabad,22 Thousand,"Zafrabad, Dhaka",3 Beds,3 Baths,950 sqft,Apartment,For Rent,21 September 2022,https://www.bproperty.com//en/property/details-4170783.html
Take A Look At This 2250 Sq Ft Flat In Lalmatia For Rent,44 Thousand,"Lalmatia, Dhaka",3 Beds,3 Baths,"2,250 sqft",Apartment,For Rent,15 September 2023,https://www.bproperty.com//en/property/details-4484839.html
"Take Rent This 2100 Sq Ft Nice Flat For Living A Pleasant Life In Block G, Bashundhara R/A",40 Thousand,"Block G, Bashundhara R-A, Dhaka",4 Beds,3 Baths,"2,100 sqft",Apartment,For Rent,12 April 2023,https://www.bproperty.com//en/property/details-5352779.html
A Structurally Well Set 1350 Sq Ft Flat For Rent Is Available In Bangshal,27 Thousand,"Bangshal, Dhaka",4 Beds,4 Baths,"1,350 sqft",Apartment,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-5316116.html
Residential Apartment Is On Rent In Bashundhara Nearby Madinatul Ulum Madrasa Masjid,30 Thousand,"Block I, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"1,575 sqft",Apartment,For Rent,16 September 2023,https://www.bproperty.com//en/property/details-1879596.html
Apartment Of 1100 Sq Ft Is Prepared For Rent In West Rampura,20 Thousand,"West Rampura, Rampura, Dhaka",3 Beds,3 Baths,"1,100 sqft",Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-5058317.html
We Bring You An Excellent Flat Of 3000 Sq Ft For Rent In Dhanmondi,65 Thousand,"Dhanmondi, Dhaka",3 Beds,4 Baths,"3,000 sqft",Apartment,For Rent,16 March 2023,https://www.bproperty.com//en/property/details-3009047.html
Be the tenant of a 2235 SQ FT residential flat waiting to get rented at Dhanmondi,2.5 Lakh,"Dhanmondi, Dhaka",3 Beds,4 Baths,"2,235 sqft",Apartment,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-3855511.html
Ready And Well Developed 2750 Sq Ft Flat For Rent In Gulshan 2 Near Radio Foorti,1.3 Lakh,"Gulshan 2, Gulshan, Dhaka",3 Beds,3 Baths,"2,750 sqft",Apartment,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-1705401.html
For Rental Purpose 2650 Sq Ft Flat Is Now Up To Rent In Bashundhara R-a Close To Nsu,70 Thousand,"Block D, Bashundhara R-A, Dhaka",6 Beds,5 Baths,"2,650 sqft",Apartment,For Rent,20 March 2023,https://www.bproperty.com//en/property/details-1915992.html
"An Apartment Is Ready For Rent At Banani, Near Banani Bidyaniketan School & College",1.35 Lakh,"Banani, Dhaka",3 Beds,4 Baths,"2,800 sqft",Apartment,For Rent,17 September 2023,https://www.bproperty.com//en/property/details-1927971.html
Property In Khilkhet – 4000 Sq Ft Duplex For Rent,1.3 Lakh,"Bepari Para, Khilkhet, Dhaka",5 Beds,6 Baths,"4,000 sqft",Duplex,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-3784128.html
We Are Happy To Present This Modern 1265 Sq Ft Apartment In Kallyanpur,18 Thousand,"Kallyanpur, Mirpur, Dhaka",3 Beds,3 Baths,"1,265 sqft",Apartment,For Rent,13 June 2023,https://www.bproperty.com//en/property/details-4796738.html
"3500 Sq Ft Ready Flat With 4 Bedrooms For Rent In Baridhara, Block K",2.2 Lakh,"Block K, Baridhara, Dhaka",4 Beds,4 Baths,"3,500 sqft",Apartment,For Rent,12 March 2023,https://www.bproperty.com//en/property/details-5555535.html
Visit This Flat For Rent Covering An Area Of 800 Sq Ft In West End Street Nearby Ywca Higher Secondary Girls School,21 Thousand,"Dhanmondi, Dhaka",2 Beds,2 Baths,800 sqft,Apartment,For Rent,17 September 2023,https://www.bproperty.com//en/property/details-1816510.html
"Reasonable 1508 Sq Ft Flat Is Available For Rent In Block H, Bashundhara R-A",26 Thousand,"Block H, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"1,508 sqft",Apartment,For Rent,19 September 2023,https://www.bproperty.com//en/property/details-2086761.html
"Get A Look At This Lovely Flat For Rent Featuring 2300 Sq Ft In Sector 12, Uttara",65 Thousand,"Sector 12, Uttara, Dhaka",4 Beds,4 Baths,"2,300 sqft",Apartment,For Rent,10 September 2023,https://www.bproperty.com//en/property/details-5600947.html
"Great Location! Check Out This 2385 Sq Ft Flat For Rent In Sector 12, Uttara",70 Thousand,"Sector 12, Uttara, Dhaka",4 Beds,4 Baths,"2,385 sqft",Apartment,For Rent,10 September 2023,https://www.bproperty.com//en/property/details-5600948.html
Uniquely Designed 1600 Sq Ft Flat Is Up For Rent In South Khulshi,25 Thousand,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Baths,"1,600 sqft",Apartment,For Rent,25 January 2022,https://www.bproperty.com//en/property/details-4634136.html
"An Apartment Is Ready For Rent At Bashundhara R-A, Near Madinatul Ulum Madrasa Masjid",21 Thousand,"Block J, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"1,250 sqft",Apartment,For Rent,12 September 2023,https://www.bproperty.com//en/property/details-1966467.html
A 1150 Square Feet Ready Apartment Is For Rent At Kallyanpur Main Road.,15 Thousand,"Kallyanpur, Mirpur, Dhaka",3 Beds,3 Baths,"1,150 sqft",Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-3854214.html
Visit This Apartment For Rent In South Khulshi Near South Kulshi Masjid,30 Thousand,"South Khulshi, Khulshi, Chattogram",3 Beds,4 Baths,"1,400 sqft",Apartment,For Rent,25 January 2022,https://www.bproperty.com//en/property/details-1978927.html
"1250 Sq Ft Apartment Is Prepared For Rent In Ali And Nur Real Estate, Mohammadpur",26 Thousand,"Ali And Nur Real Estate, Mohammadpur, Dhaka",3 Beds,3 Baths,"1,250 sqft",Apartment,For Rent,7 March 2023,https://www.bproperty.com//en/property/details-5518793.html
Beautiful And Well-constructed Flat Is Ready For Rent At Gulshan 2 Nearby Z H Sikder Women's Medical College & Hospital,1 Lakh,"Gulshan 2, Gulshan, Dhaka",3 Beds,4 Baths,"2,250 sqft",Apartment,For Rent,14 September 2023,https://www.bproperty.com//en/property/details-1980356.html
"950 Sq Ft Convenient Apartment For Rent In Section 11, Mirpur",18 Thousand,"Block B, Section 11, Mirpur, Dhaka",3 Beds,3 Baths,950 sqft,Apartment,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-5602725.html
"We have this 850 SQ Ft ready apartment at Mohammadpur, near Prominent Housing Baitul Abrar Jame Masjid Hasan Sikder up for rent.",17 Thousand,"PC Culture Housing, Mohammadpur, Dhaka",2 Beds,2 Baths,850 sqft,Apartment,For Rent,1 March 2023,https://www.bproperty.com//en/property/details-1837182.html
Near Kacha Bazar 2208 Sq Ft Flat For Rent In Uttara,35 Thousand,"Sector 6, Uttara, Dhaka",3 Beds,4 Baths,"2,208 sqft",Apartment,For Rent,11 September 2023,https://www.bproperty.com//en/property/details-1842381.html
An Apartments Of 5000 Sq Ft Is Available For Rent In The Most Prime Location Of Gulshan 2,3.5 Lakh,"Gulshan 2, Gulshan, Dhaka",4 Beds,5 Baths,"5,000 sqft",Apartment,For Rent,13 September 2023,https://www.bproperty.com//en/property/details-3060397.html
"A Noteworthy And Well Planned 5000 Sq Ft Residential Apartment For Rent Is Up, In Gulshan, Near Embassy Of The Arab Republic Of Egypt",3 Lakh,"Gulshan 2, Gulshan, Dhaka",4 Beds,4 Baths,"5,000 sqft",Apartment,For Rent,13 September 2023,https://www.bproperty.com//en/property/details-1706802.html
"A Nice 2350 Sq. Ft House Is Available For Rent At Dhanmondi Next To Al-Arafah Islami Bank limited , With An Affordable Deal.",80 Thousand,"Dhanmondi, Dhaka",3 Beds,3 Baths,"2,350 sqft",Apartment,For Rent,13 September 2023,https://www.bproperty.com//en/property/details-5494228.html
"1250 Square Feet Flat Is Ready For Rent In Baridhara, Block J",50 Thousand,"Block J, Baridhara, Dhaka",3 Beds,3 Baths,"1,250 sqft",Apartment,For Rent,12 September 2023,https://www.bproperty.com//en/property/details-5535450.html
"Have A Look At This 950 Sq Ft Property Which Is Up For Rent Located At Section 11, Mirpur",18 Thousand,"Block B, Section 11, Mirpur, Dhaka",3 Beds,3 Baths,950 sqft,Apartment,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-5602727.html
Wonderful Flat Covering An Area Of 2750 Sq Ft Is Available For Rent In Gulshan 2,1.3 Lakh,"Gulshan 2, Gulshan, Dhaka",3 Beds,3 Baths,"2,750 sqft",Apartment,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-3414290.html
Flat For Rent In Bashundhara R-a Near North South University,25 Thousand,"Block G, Bashundhara R-A, Dhaka",4 Beds,3 Baths,"1,550 sqft",Apartment,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-1907475.html
1800 Sq Ft Flat With 3 Bedrooms For Rent In Mohammadpur,20 Thousand,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",3 Beds,3 Baths,"1,800 sqft",Apartment,For Rent,8 September 2023,https://www.bproperty.com//en/property/details-4583083.html
"A Great Residence For Renting Purposes Is Available In Lalmatia, With A Space Of 1730 Sq Ft, Very Close To Aarong",50 Thousand,"Block D, Lalmatia, Dhaka",3 Beds,3 Baths,"1,730 sqft",Apartment,For Rent,17 September 2023,https://www.bproperty.com//en/property/details-1716930.html
3600 Square Feet Elegant Duplex Flat For Rent In Gulshan 1,1.5 Lakh,"Gulshan 1, Gulshan, Dhaka",5 Beds,4 Baths,"3,600 sqft",Duplex,For Rent,7 September 2023,https://www.bproperty.com//en/property/details-3256594.html
"800 Sq Ft Residential Apartment Is On Rent In North Adabor, Adabor",15 Thousand,"Adabor, Dhaka",3 Beds,2 Baths,800 sqft,Apartment,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-4242805.html
A Suitable 1550 Square Feet Residential Place Is For Rent In Uttara 10.,55 Thousand,"Sector 10, Uttara, Dhaka",3 Beds,3 Baths,"1,550 sqft",Apartment,For Rent,26 September 2023,https://www.bproperty.com//en/property/details-3035085.html
2200 Sq Ft Vacant Flat For Rent In Uttara-12,70 Thousand,"Sector 12, Uttara, Dhaka",3 Beds,4 Baths,"2,200 sqft",Apartment,For Rent,21 September 2022,https://www.bproperty.com//en/property/details-5521377.html
"Look At This Nice 1240 Sq Ft Flat Is Up For Rent At Darussalam, Mirpur",22 Thousand,"Mirpur, Dhaka",3 Beds,4 Baths,"1,240 sqft",Apartment,For Rent,17 May 2023,https://www.bproperty.com//en/property/details-5355966.html
This Beautiful Flat Of 2262 Sq Ft Is Greatly Affordable And Will Come Within Your Budget In Banani,65 Thousand,"Banani, Dhaka",3 Beds,3 Baths,"2,262 sqft",Apartment,For Rent,10 September 2023,https://www.bproperty.com//en/property/details-4966523.html
"Residential Place Of 3 Bedroom Is Available For Rental Purpose In Shah Shaheb Nagar, Middle Paikpara.",15 Thousand,"Middle Paikpara, Mirpur, Dhaka",3 Beds,2 Baths,"1,100 sqft",Apartment,For Rent,29 August 2022,https://www.bproperty.com//en/property/details-5018930.html
"1000 Sq Ft Convenient Apartment Is Ready For Rent In Mirpur, Kallyanpur",16.5 Thousand,"Kallyanpur, Mirpur, Dhaka",3 Beds,2 Baths,"1,000 sqft",Apartment,For Rent,14 March 2023,https://www.bproperty.com//en/property/details-5559725.html
"We Are Offering You A Very Spacious Full Furnished Duplex 6000 Sq Ft Flat For Rent In Block K, Baridhara",5 Lakh,"Block K, Baridhara, Dhaka",4 Beds,5 Baths,"6,000 sqft",Duplex,For Rent,9 September 2023,https://www.bproperty.com//en/property/details-5332157.html
Offering You A 1460 Sq Ft Nice Flat For Rent In Mohammadpur,22 Thousand,"PC Culture Housing, Mohammadpur, Dhaka",3 Beds,3 Baths,"1,460 sqft",Apartment,For Rent,27 March 2023,https://www.bproperty.com//en/property/details-3011807.html
Take This 1400 Sq Ft Residential Flat Is Vacant For Rent At Bashundhara R/a,26 Thousand,"Block G, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"1,400 sqft",Apartment,For Rent,29 September 2023,https://www.bproperty.com//en/property/details-1800590.html
"Rent This 900 Sq Ft Ready Flat In Khilkhet, Bot Tola",16 Thousand,"Bot Tola, Khilkhet, Dhaka",3 Beds,2 Baths,900 sqft,Apartment,For Rent,29 September 2023,https://www.bproperty.com//en/property/details-5540587.html
"Well Facilitated 2440 Sq Ft Residence Is Ready To Be Rented In Bashundhara R-a, Block C",35 Thousand,"Block C, Bashundhara R-A, Dhaka",4 Beds,3 Baths,"2,440 sqft",Apartment,For Rent,8 September 2023,https://www.bproperty.com//en/property/details-3091498.html
This 3500 Sq Ft Ready Flat Is Set For Rent In Baridhara,2.2 Lakh,"Block K, Baridhara, Dhaka",4 Beds,4 Baths,"3,500 sqft",Apartment,For Rent,12 March 2023,https://www.bproperty.com//en/property/details-5555537.html
1800 Sq Ft Full Furnished Apartment Is Available For Rent In Bashundhara,1 Lakh,"Block B, Bashundhara R-A, Dhaka",4 Beds,4 Baths,"1,800 sqft",Apartment,For Rent,8 September 2023,https://www.bproperty.com//en/property/details-3124512.html
Apartment for Rent in Khulshi nearby Khulshi Jame Masjid,20 Thousand,"Block B, South Khulshi Residential Area, South Khulshi, Khulshi, Chattogram",3 Beds,3 Baths,"1,400 sqft",Apartment,For Rent,7 January 2023,https://www.bproperty.com//en/property/details-1961976.html
"We Are Offering You A Very Spacious 4200 Sq Ft Flat For Rent In Block K, Baridhara",5 Lakh,"Block K, Baridhara, Dhaka",4 Beds,5 Baths,"4,200 sqft",Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-5192378.html
"Visit This 1600 Sq Ft Apartment Ready For Rent In Aftab Nagar, Block B",25 Thousand,"Block B, Aftab Nagar, Dhaka",3 Beds,3 Baths,"1,600 sqft",Apartment,For Rent,5 September 2023,https://www.bproperty.com//en/property/details-5575325.html
"Beautiful And Well-constructed 1200 Sq Ft Flat Is Ready To Rent At Mansurabad Housing Society, Adabor",19 Thousand,"Block D, Mansurabad Housing Society, Adabor, Dhaka",3 Beds,3 Baths,"1,200 sqft",Apartment,For Rent,7 March 2022,https://www.bproperty.com//en/property/details-2069102.html
Grab This 3500 Sq Ft Amazing Flat For Rent In Baridhara,2.2 Lakh,"Block K, Baridhara, Dhaka",4 Beds,4 Baths,"3,500 sqft",Apartment,For Rent,12 March 2023,https://www.bproperty.com//en/property/details-5555536.html
"Live A Cheerful Life In This 2000 Sq Ft Flat To Rent In Baridhara, Block J",45 Thousand,"Block J, Baridhara, Dhaka",3 Beds,4 Baths,"2,000 sqft",Apartment,For Rent,15 September 2023,https://www.bproperty.com//en/property/details-3825530.html
A 4500 Square Feet Full Building Ready For Rent At Uttara -Sector 3.,1.8 Lakh,"Sector 3, Uttara, Dhaka",5 Beds,5 Baths,"4,500 sqft",Building,For Rent,7 September 2023,https://www.bproperty.com//en/property/details-4712678.html
"Looking For A Nice Flat To Rent In Aftab Nagar, Check This One Which Is 1230 Sq Ft",30 Thousand,"Block A, Aftab Nagar, Dhaka",3 Beds,3 Baths,"1,230 sqft",Apartment,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-4112045.html
A Ready Flat Of 1685 Sq Ft Is Now To Rent In Uttara-3,40 Thousand,"Sector 3, Uttara, Dhaka",3 Beds,3 Baths,"1,685 sqft",Apartment,For Rent,7 September 2023,https://www.bproperty.com//en/property/details-2017730.html
"Nice 1205 Sq Ft Flat Is Available For Rent In Khilgaon, Block C",27 Thousand,"Khilgaon, Dhaka",3 Beds,3 Baths,"1,205 sqft",Apartment,For Rent,8 September 2023,https://www.bproperty.com//en/property/details-2024010.html
"1500 Sq Ft Beautiful Flat For Rent At Bashundhara R-A, Block L.",18 Thousand,"Block L, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"1,500 sqft",Apartment,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-5181197.html
1850 Sq Ft Beautiful Flat Is Up For Rent In Uttara-15,58 Thousand,"Sector 15, Uttara, Dhaka",3 Beds,3 Baths,"1,850 sqft",Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-5464924.html
"Nice Flat Can Be Found In Bashundhara For Rent, Near Bashundhara Eye Hospital",40 Thousand,"Block I, Bashundhara R-A, Dhaka",3 Beds,4 Baths,"1,850 sqft",Apartment,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-1952504.html
A Nice Residential Flat For Rent Can Be Found In Baridhara Nearby High Commission Of Malaysia,3 Lakh,"Block K, Baridhara, Dhaka",4 Beds,5 Baths,"4,700 sqft",Apartment,For Rent,23 March 2022,https://www.bproperty.com//en/property/details-1919946.html
Ready Flat 1500 Sq Ft Is Now To Rent In Uttara-12,30 Thousand,"Sector 12, Uttara, Dhaka",3 Beds,4 Baths,"1,500 sqft",Apartment,For Rent,27 September 2023,https://www.bproperty.com//en/property/details-2045706.html
1850 Square Feet Residential Apartment Is Available For Rent At Bashundhara,40 Thousand,"Block C, Bashundhara R-A, Dhaka",3 Beds,4 Baths,"1,850 sqft",Apartment,For Rent,17 September 2023,https://www.bproperty.com//en/property/details-3214672.html
"In The Most Prime Location Of Uttara, An Apartment Of 1800 Sq Ft Is Available For Rent",60 Thousand,"Sector 12, Uttara, Dhaka",3 Beds,4 Baths,"1,800 sqft",Apartment,For Rent,15 February 2023,https://www.bproperty.com//en/property/details-3451081.html
"Well Developed And Nicely Planned 900 Sq Ft Flat Is Up For Rent In Mohammadpur, Near Trinity School & College",15 Thousand,"PC Culture Housing, Mohammadpur, Dhaka",2 Beds,2 Baths,900 sqft,Apartment,For Rent,23 September 2023,https://www.bproperty.com//en/property/details-1797492.html
2600 Sq Ft Spacious And Great Apartment For Rent In Mohakhali Dohs,1.1 Lakh,"Mohakhali DOHS, Dhaka",4 Beds,4 Baths,"2,600 sqft",Apartment,For Rent,5 April 2023,https://www.bproperty.com//en/property/details-5533692.html
"Looking For A Tasteful Home To Rent In Gulshan, Check This One",2.75 Lakh,"Gulshan 2, Gulshan, Dhaka",4 Beds,4 Baths,"3,865 sqft",Apartment,For Rent,7 March 2023,https://www.bproperty.com//en/property/details-1951209.html
"3000 Sq Ft Spacious Flat For Rent In Bashundhara R/a, Block A",1 Lakh,"Block A, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"3,000 sqft",Apartment,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-5557455.html
3200 Sq Ft Flat For Rent In Bashundhara R-a Near North South University,60 Thousand,"Block F, Bashundhara R-A, Dhaka",5 Beds,6 Baths,"3,200 sqft",Apartment,For Rent,7 September 2023,https://www.bproperty.com//en/property/details-1877739.html
"A Well Spacious Flat Of 4200 Sq Ft Is Offered For Rent Located At Block K, Baridhara",5 Lakh,"Block K, Baridhara, Dhaka",4 Beds,5 Baths,"4,200 sqft",Apartment,For Rent,20 September 2023,https://www.bproperty.com//en/property/details-5192379.html
"An Apartment Is Ready For Rent At Gulshan 1, Near London International School.",85 Thousand,"Gulshan 1, Gulshan, Dhaka",3 Beds,3 Baths,"2,200 sqft",Apartment,For Rent,31 August 2023,https://www.bproperty.com//en/property/details-1932147.html
